wk_end,CountyName,res_county,People,IPeople,amt_benefits
2017-03-25,Granite,039,31,5,7978
2017-03-25,Hill,041,109,17,25526
2017-03-25,Jefferson,043,96,9,27929
2017-03-25,Judith Basin,045,10,,
2017-03-25,Lake,047,202,17,46692
2017-03-25,Lewis and Clark,049,489,50,125997
2017-03-25,Liberty,051,5,,
2017-03-25,Lincoln,053,333,50,91170
2017-03-25,McCone,055,3,,
2017-03-25,Madison,057,61,,17901
2017-03-25,Meagher,059,11,,3197
2017-03-25,Mineral,061,40,9,10143
2017-03-25,Missoula,063,965,102,245437
2017-03-25,Musselshell,065,33,4,9513
2017-03-25,Park,067,117,12,30243
2017-03-25,Petroleum,069,3,,
2017-03-25,Phillips,071,20,,4985
2017-03-25,Pondera,073,27,3,7859
2017-03-25,Powder River,075,6,,1337
2017-03-25,Powell,077,61,10,13244
2017-03-25,Prairie,079,6,,1341
2017-03-25,Ravalli,081,342,29,89335
2017-03-25,Richland,083,73,11,22053
2017-03-25,Roosevelt,085,61,8,16753
2017-03-25,Rosebud,087,66,3,19751
2017-03-25,Sanders,089,130,8,40531
2017-03-25,Sheridan,091,13,,3945
2017-03-25,Silver Bow,093,289,24,77818
2017-03-25,Stillwater,095,50,4,14673
2017-03-25,Sweet Grass,097,14,,3241
2017-03-25,Teton,099,32,,9428
